strategy,ticker,weight_pct,sharpe_ratio,annual_return,annual_volatility,beta,alpha,max_drawdown,portfolio_return,portfolio_volatility,portfolio_sharpe
Aggressive_Growth_10,SOBO.TO,17.26017809257787,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,CSU.TO,0.0,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,DOL.TO,25.56720858305848,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,DFY.TO,6.6356676394019,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,SHOP.TO,14.181938360156613,0.9247921933602586,58.10554611081253,57.96496390830816,1.6062734944441281,48.6740724171013,-83.47057237538868,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,BAM.TO,0.0,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,WSP.TO,0.0,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,TPZ.TO,5.555166484859946e-14,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,NXE.TO,0.0,0.7500688792680343,51.1742181153846,62.22657599250393,1.5028855534713812,42.060159178822495,-80.99762459211169,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,TFPM.TO,36.35500732480526,0.7290374240425729,29.867850471920537,34.796362484731866,0.6142680565949388,23.481965675550057,-35.41853166635943,53.03636868082561,18.590777666417235,2.610776673882917
Balanced_Growth_15,SOBO.TO,14.118852156305373,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,CSU.TO,4.154692258821126e-14,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,DOL.TO,20.660720116527013,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,DFY.TO,1.288436779266575,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,SHOP.TO,13.391456068559208,0.9247921933602586,58.10554611081253,57.96496390830816,1.6062734944441281,48.6740724171013,-83.47057237538868,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,BAM.TO,4.209454985857831e-15,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,WSP.TO,1.3570796209039112e-14,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,TPZ.TO,3.803424231720917e-15,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,NXE.TO,2.090738224453063e-14,0.7500688792680343,51.1742181153846,62.22657599250393,1.5028855534713812,42.060159178822495,-80.99762459211169,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,TFPM.TO,26.174214859641896,0.7290374240425729,29.867850471920537,34.796362484731866,0.6142680565949388,23.481965675550057,-35.41853166635943,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,FSV.TO,7.669004060500428e-15,0.7037879851158217,34.62779731968385,42.80805861544474,0.825005729214142,27.59491978366465,-42.78970312956043,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,KXS.TO,0.11906852350629829,0.6979159512674435,30.380465624104946,37.082496219071906,0.8162638608356615,23.374426789023957,-47.60803335593848,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,TSU.TO,1.797148573784101e-14,0.6930882733492928,28.02808453509631,33.946735848521506,0.8100323167815328,21.041177370730445,-40.06140920934329,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,OLA.TO,10.367526796323684,0.6909357746341971,42.30085697862177,54.70965372814097,0.6529281769716034,35.79628046051606,-56.60639971169601,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,STN.TO,13.879724699869996,0.6628885812682829,24.09080779962608,29.55369628202621,0.5723931417985338,17.833484572290477,-58.11121559196321,58.34258980118311,19.643746958067894,2.7409531346599527
Diversified_20,SOBO.TO,10.601275281828189,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,CSU.TO,0.0,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,DOL.TO,20.613285916908882,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,DFY.TO,1.7842563208503457,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,SHOP.TO,11.367071745893426,0.9247921933602586,58.10554611081253,57.96496390830816,1.6062734944441281,48.6740724171013,-83.47057237538868,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,BAM.TO,4.4308664668645366e-14,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,WSP.TO,3.6028463316618675e-14,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,TPZ.TO,0.0,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,NXE.TO,0.0,0.7500688792680343,51.1742181153846,62.22657599250393,1.5028855534713812,42.060159178822495,-80.99762459211169,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,TFPM.TO,23.139717032613465,0.7290374240425729,29.867850471920537,34.796362484731866,0.6142680565949388,23.481965675550057,-35.41853166635943,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,FSV.TO,1.8633710913023923e-14,0.7037879851158217,34.62779731968385,42.80805861544474,0.825005729214142,27.59491978366465,-42.78970312956043,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,KXS.TO,1.2780914773594254,0.6979159512674435,30.380465624104946,37.082496219071906,0.8162638608356615,23.374426789023957,-47.60803335593848,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,TSU.TO,0.0,0.6930882733492928,28.02808453509631,33.946735848521506,0.8100323167815328,21.041177370730445,-40.06140920934329,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,OLA.TO,8.306781085148401,0.6909357746341971,42.30085697862177,54.70965372814097,0.6529281769716034,35.79628046051606,-56.60639971169601,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,STN.TO,12.871085215890368,0.6628885812682829,24.09080779962608,29.55369628202621,0.5723931417985338,17.833484572290477,-58.11121559196321,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,ATD.TO,3.3682637946540215e-14,0.6608439670695246,27.78973311894688,35.24240861609722,0.3885346753234593,22.09687988624422,-63.410571418232784,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,EFR.TO,10.038435923507832,0.646909743524232,107.10243595238612,158.6039427902709,1.216049865906664,98.8690008028289,-99.5663551526649,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,MRU.TO,9.8602305166978e-14,0.645286140429067,18.6240361064618,21.888020246445052,0.30308049105619733,13.193538607816366,-46.697502330234556,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,PBH.TO,2.1815026712447106e-14,0.6375220621882474,20.096360834395814,24.464033104772025,0.5035688282264983,14.050337421844041,-45.43848930926339,64.44668344225587,20.595687411690047,2.9106425167547614
Diversified_20,SVI.TO,7.977135145187513e-14,0.6262166531394645,75.25294228594038,112.98476642425383,0.3770890306540691,69.59522870771741,-75.99999307050203,64.44668344225587,20.595687411690047,2.9106425167547614
High_Momentum,SOBO.TO,14.118852156305373,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,CSU.TO,4.154692258821126e-14,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,DOL.TO,20.660720116527013,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,DFY.TO,1.288436779266575,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,SHOP.TO,13.391456068559208,0.9247921933602586,58.10554611081253,57.96496390830816,1.6062734944441281,48.6740724171013,-83.47057237538868,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,BAM.TO,4.209454985857831e-15,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,WSP.TO,1.3570796209039112e-14,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,TPZ.TO,3.803424231720917e-15,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,NXE.TO,2.090738224453063e-14,0.7500688792680343,51.1742181153846,62.22657599250393,1.5028855534713812,42.060159178822495,-80.99762459211169,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,TFPM.TO,26.174214859641896,0.7290374240425729,29.867850471920537,34.796362484731866,0.6142680565949388,23.481965675550057,-35.41853166635943,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,FSV.TO,7.669004060500428e-15,0.7037879851158217,34.62779731968385,42.80805861544474,0.825005729214142,27.59491978366465,-42.78970312956043,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,KXS.TO,0.11906852350629829,0.6979159512674435,30.380465624104946,37.082496219071906,0.8162638608356615,23.374426789023957,-47.60803335593848,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,TSU.TO,1.797148573784101e-14,0.6930882733492928,28.02808453509631,33.946735848521506,0.8100323167815328,21.041177370730445,-40.06140920934329,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,OLA.TO,10.367526796323684,0.6909357746341971,42.30085697862177,54.70965372814097,0.6529281769716034,35.79628046051606,-56.60639971169601,58.34258980118311,19.643746958067894,2.7409531346599527
High_Momentum,STN.TO,13.879724699869996,0.6628885812682829,24.09080779962608,29.55369628202621,0.5723931417985338,17.833484572290477,-58.11121559196321,58.34258980118311,19.643746958067894,2.7409531346599527
Conservative_Low_Vol,CSU.TO,0.0,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,DOL.TO,23.1661124971482,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,DFY.TO,6.1899680895254985,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,BAM.TO,3.199109377115451,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,WSP.TO,0.0,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,TPZ.TO,6.548874749959109e-16,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,STN.TO,22.83565558789294,0.6628885812682829,24.09080779962608,29.55369628202621,0.5723931417985338,17.833484572290477,-58.11121559196321,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,MRU.TO,9.533305471261615e-15,0.645286140429067,18.6240361064618,21.888020246445052,0.30308049105619733,13.193538607816366,-46.697502330234556,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,PBH.TO,9.099544660018726e-15,0.6375220621882474,20.096360834395814,24.464033104772025,0.5035688282264983,14.050337421844041,-45.43848930926339,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,X.TO,26.618351475535114,0.5995357868100536,19.347235709435633,24.764552902560215,0.6256933609711613,12.9262737059962,-59.385362080354,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,WCN.TO,0.0,0.593600289767861,18.833363933071247,24.146490795475504,0.4840489345566277,12.847269195474247,-70.06794325438044,27.830211119238708,12.274997238946469,1.900628624600903
Conservative_Low_Vol,NA.TO,17.990802972782795,0.5898033601863039,18.353665913319443,23.488618153927472,0.8226254504683858,11.32809615026605,-58.47483223803505,27.830211119238708,12.274997238946469,1.900628624600903
Risk_Parity_20,SOBO.TO,5.2123661486349,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,CSU.TO,3.298532232999364,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,DOL.TO,7.16687470016258,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,DFY.TO,6.1119260524236765,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,SHOP.TO,2.1967577449504527,0.9247921933602586,58.10554611081253,57.96496390830816,1.6062734944441281,48.6740724171013,-83.47057237538868,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,BAM.TO,3.2538987136751762,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,WSP.TO,4.773389216185119,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,TPZ.TO,5.9653634736753,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,NXE.TO,2.1955539387972562,0.7500688792680343,51.1742181153846,62.22657599250393,1.5028855534713812,42.060159178822495,-80.99762459211169,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,TFPM.TO,5.79806412711634,0.7290374240425729,29.867850471920537,34.796362484731866,0.6142680565949388,23.481965675550057,-35.41853166635943,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,FSV.TO,6.238286864823221,0.7037879851158217,34.62779731968385,42.80805861544474,0.825005729214142,27.59491978366465,-42.78970312956043,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,KXS.TO,6.273348073499041,0.6979159512674435,30.380465624104946,37.082496219071906,0.8162638608356615,23.374426789023957,-47.60803335593848,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,TSU.TO,4.604348583066358,0.6930882733492928,28.02808453509631,33.946735848521506,0.8100323167815328,21.041177370730445,-40.06140920934329,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,OLA.TO,3.0246693618478164,0.6909357746341971,42.30085697862177,54.70965372814097,0.6529281769716034,35.79628046051606,-56.60639971169601,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,STN.TO,4.768476739215897,0.6628885812682829,24.09080779962608,29.55369628202621,0.5723931417985338,17.833484572290477,-58.11121559196321,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,ATD.TO,6.889483575940683,0.6608439670695246,27.78973311894688,35.24240861609722,0.3885346753234593,22.09687988624422,-63.410571418232784,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,EFR.TO,2.062832033291826,0.646909743524232,107.10243595238612,158.6039427902709,1.216049865906664,98.8690008028289,-99.5663551526649,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,MRU.TO,7.699443384004779,0.645286140429067,18.6240361064618,21.888020246445052,0.30308049105619733,13.193538607816366,-46.697502330234556,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,PBH.TO,6.049410386449982,0.6375220621882474,20.096360834395814,24.464033104772025,0.5035688282264983,14.050337421844041,-45.43848930926339,27.10936297910709,13.523325517420743,1.671878928742913
Risk_Parity_20,SVI.TO,6.416974649240233,0.6262166531394645,75.25294228594038,112.98476642425383,0.3770890306540691,69.59522870771741,-75.99999307050203,27.10936297910709,13.523325517420743,1.671878928742913
Minimum_Volatility_20,SOBO.TO,5.206169979114058,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,CSU.TO,3.3982244883839295e-15,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,DOL.TO,12.662278071235683,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,DFY.TO,4.265522826020815,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,SHOP.TO,4.5680730841692e-15,0.9247921933602586,58.10554611081253,57.96496390830816,1.6062734944441281,48.6740724171013,-83.47057237538868,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,BAM.TO,3.6911284815444666e-15,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,WSP.TO,0.0,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,TPZ.TO,10.829530196975155,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,NXE.TO,0.0,0.7500688792680343,51.1742181153846,62.22657599250393,1.5028855534713812,42.060159178822495,-80.99762459211169,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,TFPM.TO,5.6938837182444395,0.7290374240425729,29.867850471920537,34.796362484731866,0.6142680565949388,23.481965675550057,-35.41853166635943,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,FSV.TO,10.471066691154702,0.7037879851158217,34.62779731968385,42.80805861544474,0.825005729214142,27.59491978366465,-42.78970312956043,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,KXS.TO,8.583826608207733,0.6979159512674435,30.380465624104946,37.082496219071906,0.8162638608356615,23.374426789023957,-47.60803335593848,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,TSU.TO,1.4126349536371956,0.6930882733492928,28.02808453509631,33.946735848521506,0.8100323167815328,21.041177370730445,-40.06140920934329,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,OLA.TO,1.473120368219247e-16,0.6909357746341971,42.30085697862177,54.70965372814097,0.6529281769716034,35.79628046051606,-56.60639971169601,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,STN.TO,0.28491329107785174,0.6628885812682829,24.09080779962608,29.55369628202621,0.5723931417985338,17.833484572290477,-58.11121559196321,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,ATD.TO,7.788891491908527,0.6608439670695246,27.78973311894688,35.24240861609722,0.3885346753234593,22.09687988624422,-63.410571418232784,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,EFR.TO,0.0,0.646909743524232,107.10243595238612,158.6039427902709,1.216049865906664,98.8690008028289,-99.5663551526649,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,MRU.TO,23.816484774418992,0.645286140429067,18.6240361064618,21.888020246445052,0.30308049105619733,13.193538607816366,-46.697502330234556,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,PBH.TO,4.999067589552703,0.6375220621882474,20.096360834395814,24.464033104772025,0.5035688282264983,14.050337421844041,-45.43848930926339,18.852886735238087,11.284515057500254,1.2719099280831245
Minimum_Volatility_20,SVI.TO,3.9857298084521298,0.6262166531394645,75.25294228594038,112.98476642425383,0.3770890306540691,69.59522870771741,-75.99999307050203,18.852886735238087,11.284515057500254,1.2719099280831245
